drink,drink_id,Category,cocktail_pic,Ingredients,Instructions
'57 Chevy with a White License Plate,14029,Cocktail,http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,"1 oz white  Creme de Cacao,  1 oz  Vodka",1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir
1-900-FUK-MEUP,15395,Shot,http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,"1/2 oz  Absolut Kurant,  1/4 oz  Grand Marnier, 1/4 oz  Chambord raspberry liqueur, 1/4 oz  Midori melon liqueur, 1/4 oz  Malibu rum, 1/4 oz  Amaretto, 1/2 oz  Cranberry juice, 1/4 oz  Pineapple juice",Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.
110 in the shade,15423,Beer,http://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg,"16 oz  Lager,  1.5 oz  Tequila",Drop shooter in glass. Fill with beer
151 Florida Bushwacker,14588,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,"1/2 oz  Malibu rum,  1/2 oz  Light rum, 1/2 oz Bacardi  151 proof rum, 1 oz  Dark Creme de Cacao, 1 oz  Cointreau, 3 oz  Milk, 1 oz  Coconut liqueur, 1 cup  Vanilla ice-cream",Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.
155 Belmont,15346,Cocktail,http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,"1 shot  Dark rum,  2 shots  Light rum, 1 shot  Vodka, 1 shot  Orange juice",Blend with ice. Serve in a wine glass. Garnish with carrot.
24k nightmare,17060,Shot,http://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,"1/2 oz  Goldschlager,  1/2 oz  Jägermeister, 1/2 oz  Rumple Minze, 1/2 oz Bacardi  151 proof rum","Add over ice,shake and pour."
252,15288,Shot,http://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg,"1/2 shot Bacardi  151 proof rum,  1/2 shot  Wild Turkey","Add both ingredients to shot glass, shoot, and get drunk quick"
3 Wise Men,13899,Shot,http://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg,"1/3 oz  Jack Daniels,  1/3 oz  Johnnie Walker, ",put them them in a glass... and slam it to tha head.
3-Mile Long Island Iced Tea,15300,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,"1/2 oz  Gin,  1/2 oz  Light rum, 1/2 oz  Tequila, 1/2 oz  Triple sec, 1/2 oz  Vodka, 
 Coca-Cola, 1-2 dash  Sweet and sour, 1 wedge  Bitters,   Lemon",Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.
410 Gone,13581,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg,"2-3 oz Peach Vodka,  ",
50/50,14598,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg,"2 1/2 oz  Vanilla vodka,  1 splash  Grand Marnier, ",fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.
501 Blue,17105,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ywxwqs1461867097.jpg,"
 Blue Curacao,  
 Blueberry schnapps, 
 Vodka, 
 Sour mix, 
 7-Up",Mix equal amounts into a glass with ice.
69 Special,13940,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg,"2 oz dry  Gin,  4 oz  7-Up, 
 Vodka","Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up."
747,14229,Shot,http://www.thecocktaildb.com/images/media/drink/xxsxqy1472668106.jpg,"1/3 part  Kahlua,  1/3 part  Bailey's irish cream, 0.75 oz  Lemon juice","pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!"
9 1/2 Weeks,16108,Cocktail,http://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg,"2 oz  Absolut Citron,  1/2 oz  Orange Curacao, 1 splash  Strawberry liqueur, 1 oz  Orange juice",Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.
A Day at the Beach,15200,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/trptts1454514474.jpg,"1 oz  Coconut rum,  1/2 oz  Amaretto, 4 oz  Orange juice, 1/2 oz  Grenadine","Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry."
A Furlong Too Late,11000,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ssxvww1472669166.jpg,"2 oz  Light rum,  4 oz  Ginger beer, 4 oz  Orange juice",Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.
A Gilligan's Island,16943,Cocktail,http://www.thecocktaildb.com/images/media/drink/wysqut1461867176.jpg,"1 oz  Vodka,  1 oz  Peach schnapps, 3 oz  Orange juice, 3 oz  Cranberry juice","Shaken, not stirred!"
A Night In Old Mandalay,11001,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vyrvxt1461919380.jpg,"1 oz  Light rum,  1 oz  Añejo rum, 1 oz  Orange juice, 1/2 oz  Lemon juice, 3 oz  Ginger ale, 1 twist of  Lemon peel","In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist."
A Piece of Ass,16405,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/tqxyxx1472719737.jpg,"1 shot  Amaretto,  1 shot  Southern Comfort,  cubes
 Ice, 
 Sour mix",Put ice in glass. Pour in shots. Fill with Sour Mix.
A Splash of Nash,14564,Shot,http://www.thecocktaildb.com/images/media/drink/rsvtrr1472668201.jpg,"2 oz  Cranberry juice,  2 oz  Soda water, 0.5 oz  Midori melon liqueur, 0.5 oz  Creme de Banane",Drop shot glass with banana & melon liquers into a 9 oz hi- ball glass containing soda water and cranberry juice. Drink in one shot.
